0,几乎,"""几乎没说明什么。""我说道。"
0,几乎,"""我这辈子几乎没看过北方来的船只，而半兽人也一向出没在河东岸，"""
0,几乎,几年中，他几乎没按时吃过一顿饭、没休一个休息日。
0,几乎,可在这上面他们几乎没做什么工作，跃进村农民在鸟岛上的地照种不误
0,几乎,马明顺在厂里几乎没休过班，每天早晨进厂干活比谁都早，吃完饭又一直在车间里忙乎。
1,几乎,又不是什么重要的事！我几乎没怪叫起来，竟不让我参予。
0,几乎,＂邓宗平不怒反笑了，年少毕竟气盛，他几乎没问宦兴波：我几时入赘？
0,几乎,＂蓝道几乎没注意到船长离去，他皱眉瞪着码头。
0,几乎,＂他得了重感冒，昨晚我几乎没合眼。我怕把他吵醒，所以就不带你去看他了。
0,几乎,＂她几乎没穿衣服，乔蒂安，＂他说，很不情愿地挤出一丝笑容，＂她穿的是什么衣服呀，我想这一定是你的衣服。
0,几乎,＂她几乎没看他，低着头走开。
0,几乎,＂她几乎没去考虑自己的尴尬处境。
0,几乎,＂她几乎没瘫痪。聂上游过来扶住她，＂快坐下，你脚底流血。
0,几乎,＂她几乎瘫痪。聂上游过来扶住她，＂快坐下，你脚底流血。
0,几乎,＂我听说罗亚尔河的水位比往常低了好几英尺——几乎没足够喝的水，更不用说救——＂＂小薇，你在做什么？
0,几乎,(国际)美国男女工资差距20年来几乎没变
0,几乎,’“他用颤抖的手抚摸着我的头发，声音是那样低，那样低，叫我几乎没听清楚地说些什么！
0,几乎,“‘哦，美丽的女王，天堂的公主，’”她继续唱着，重复着第一段歌词；接着，她跪了下来，一只手伸出去抓亚历山德罗的手，几乎没让歌声停下便低声背诵起晨诗词来。
0,几乎,“阿绫，你早上几乎没吃，现在肚子饿不饿？
0,几乎,“哎呀、没想到这次出诊居然遇上如此美人，老夫真是幸运，活了这大半辈子几乎没见过这么漂亮的美人儿。
0,几乎,“大火在我那里从这头烧到了那头，几乎没剩下一只活着的羊和绿色的树了。
0,几乎,“姑姑不是个爱写信的人，她都快七十岁了，您知道，她年轻时几乎没受到过什么教育。”
0,几乎,“几乎没说明什么。
1,几乎,“几乎说明什么。
0,几乎,“龙龙”十几天不吃了，她也几乎没吃什么。
0,几乎,“那天晚上我们几乎没睡觉。”她说。
0,几乎,“你今天晚上几乎没吃东西。
1,几乎,“你啥都好叫好应的，”他几乎哭出来，“可不要叫我做什么‘宝牛’的好吧？
1,几乎,“你啥都好叫好应的，”他几乎没哭出来，“可不要叫我做什么‘宝牛’的好吧？
0,几乎,“陪考官”们几乎没发问，只有那位“主考官”翻着我的简历表问了我几句话：“结婚了吗？
0,几乎,“让开”他的唇几乎没掀起。“小女子还没说过恩公的救命大德。
0,几乎,“人家中午几乎没吃什么，现在肚子好饿喔。
